x, y, z
-0.030534, -0.091603, -0.137405
0.030534, 0.106870, -0.106870
0.030534, 0.045802, -0.015267
-0.061069, -0.045802, -0.122137
-0.045802, -0.030534, -0.091603
-0.106870, 0.000000, -0.045802
-0.045802, 0.091603, 0.274809
0.030534, 0.000000, 0.015267
-0.091603, -0.152672, -0.091603
0.076336, -0.045802, 0.000000
-0.106870, 0.061069, -0.137405
0.061069, -0.167939, -0.198473
0.045802, -0.030534, 0.030534
0.015267, 0.030534, -0.091603
-0.030534, 0.045802, 0.015267
0.106870, -0.045802, 0.061069
0.076336, -0.213740, 0.000000
-0.045802, 0.030534, -0.061069
0.000000, -0.015267, 0.030534
0.000000, -0.152672, 0.061069
-0.015267, 0.152672, 0.000000
0.045802, -0.106870, -0.061069
0.061069, -0.045802, 0.061069
0.045802, 0.030534, 0.091603
-0.076336, -0.045802, -0.061069
0.045802, -0.061069, 0.167939
0.030534, -0.198473, 0.015267
-0.030534, 0.351145, -0.061069
0.122137, -0.122137, 0.045802
0.045802, 0.076336, -0.045802
0.015267, 0.000000, 0.106870
-0.106870, -0.015267, 0.122137
0.167939, -0.045802, 0.091603
0.015267, -0.152672, -0.015267
-0.045802, -0.076336, 0.015267
0.061069, 0.061069, -0.091603
0.030534, 0.030534, -0.015267
-0.030534, 0.061069, 0.000000
0.091603, -0.106870, 0.183206
-0.244275, 0.045802, 0.061069
-0.061069, -0.137405, -0.137405
-0.045802, 0.152672, -0.045802
0.076336, 0.106870, -0.122137
-0.076336, 0.137405, 0.091603
-0.045802, -0.045802, -0.198473
-0.076336, 0.122137, 0.030534
-0.030534, -0.106870, -0.106870
0.000000, -0.106870, -0.015267
-0.137405, 0.045802, -0.061069
-0.061069, -0.305344, 0.030534
0.000000, -0.076336, 0.152672
0.061069, 0.030534, 0.045802
-0.076336, -0.122137, 0.030534
0.076336, -0.167939, -0.167939
-0.122137, 0.106870, 0.091603
-0.030534, -0.015267, -0.045802
-0.030534, -0.045802, 0.213740
-0.152672, -0.106870, 0.015267
-0.152672, -0.030534, -0.061069
-0.015267, -0.244275, -0.045802
0.000000, 0.274809, 0.000000
-0.045802, -0.137405, -0.076336
-0.030534, -0.091603, 0.045802
-0.045802, -0.152672, 0.030534
-0.030534, 0.106870, 0.076336
-0.137405, -0.122137, 0.076336
0.061069, 0.061069, 0.076336
-0.015267, 0.000000, -0.122137
0.000000, 0.076336, -0.106870
0.152672, -0.015267, 0.167939
-0.244275, 0.122137, 0.061069
-0.030534, -0.061069, 0.015267
-0.030534, 0.137405, 0.091603
0.000000, 0.091603, -0.015267
0.000000, 0.076336, 0.000000
0.106870, 0.137405, 0.045802
0.030534, 0.106870, -0.030534
-0.030534, 0.061069, -0.030534
0.122137, -0.137405, 0.229008
-0.015267, 0.030534, 0.030534
0.000000, 0.091603, 0.091603
0.015267, 0.030534, -0.137405
0.000000, 0.122137, 0.061069
-0.045802, 0.015267, -0.106870
0.045802, 0.061069, 0.015267
0.045802, 0.076336, -0.061069
0.000000, 0.229008, 0.030534
0.015267, 0.091603, -0.091603
-0.122137, -0.061069, 0.030534
-0.061069, -0.045802, -0.030534
0.045802, -0.167939, 0.015267
0.061069, 0.091603, 0.167939
0.061069, 0.030534, 0.000000
0.106870, -0.030534, 0.122137
-0.061069, -0.015267, 0.061069
-0.061069, 0.183206, 0.061069
0.061069, 0.000000, 0.045802
0.000000, -0.076336, -0.015267
0.000000, 0.000000, -0.015267
0.000000, 0.000000, -0.045802
0.122137, -0.305344, 0.061069
0.061069, -0.122137, -0.045802
-0.061069, 0.000000, 0.015267
0.076336, -0.167939, 0.030534
0.000000, 0.244275, -0.030534
0.061069, -0.061069, -0.030534
-0.045802, 0.015267, -0.183206
-0.061069, -0.167939, 0.061069
0.015267, -0.137405, 0.137405
