x, y, z
166.732819, 442.625946, 22.198473
192.015274, 427.435120, 41.190838
213.480911, 409.740448, 70.595421
230.656494, 385.068695, 99.938934
242.167938, 358.106873, 129.496185
247.633591, 337.374054, 154.274811
249.648849, 311.267181, 176.717560
250.946564, 287.404572, 196.396942
251.938934, 256.534363, 211.541992
249.038162, 226.977097, 223.374039
243.648849, 186.809158, 231.145035
237.557251, 150.854965, 233.832062
230.809158, 129.282440, 234.641220
224.366409, 103.541985, 230.091599
219.587784, 77.343513, 223.480911
215.496185, 58.946564, 216.824432
210.534348, 36.778625, 208.198471
200.122131, 11.374045, 201.175568
182.748093, -16.076336, 195.938934
163.343506, -40.641220, 191.038162
146.687027, -60.961834, 185.725189
132.671753, -78.458015, 180.076340
120.320610, -91.145035, 173.358780
106.900764, -97.190842, 166.702286
91.389313, -100.992363, 160.702286
75.893127, -106.656487, 156.244278
52.229008, -119.847328, 153.251907
18.793894, -132.427475, 151.984726
-21.190840, -157.129776, 151.694656
-60.977100, -186.549622, 148.519089
-94.137405, -204.732819, 142.687027
-118.595421, -216.610687, 134.549622
-134.992371, -202.687027, 126.122139
-151.190842, -218.580154, 113.267174
-154.137405, -198.610687, 100.931297
-152.625961, -186.015274, 90.122139
-147.328247, -170.625961, 78.473282
-141.954193, -154.213745, 67.145035
-135.572525, -140.931305, 57.816795
-133.435120, -130.244278, 47.694656
-127.786263, -122.763359, 38.366413
-117.099236, -117.435112, 28.396946
-100.015266, -111.236641, 18.534351
-78.870232, -102.213737, 9.496183
-59.312977, -92.534348, 1.725191
-43.312977, -81.053436, -4.137404
-31.664122, -71.709923, -8.916031
-23.160305, -61.954197, -11.679389
-15.038168, -54.641220, -13.358779
-8.671756, -47.969467, -13.664123
-3.694656, -41.603054, -13.206107
0.778626, -36.717556, -12.152672
6.198473, -31.694656, -10.229008
11.419847, -28.229008, -8.412213
15.954199, -24.351145, -5.709924
19.282442, -21.480917, -2.885496
20.870230, -17.633587, 0.045802
22.229008, -14.427481, 2.580153
23.709923, -11.801527, 4.305344
25.404581, -9.114504, 5.557252
27.099237, -6.885496, 5.633588
28.458015, -3.877863, 5.664122
28.961832, -1.343511, 4.854962
28.458015, 1.526718, 4.122138
26.717558, 4.427481, 3.053435
25.603054, 6.824428, 1.022901
24.870230, 9.648855, -0.595420
23.511450, 12.213740, -2.946565
21.282442, 14.946565, -4.778626
18.229008, 17.312977, -6.488550
15.206107, 18.961832, -7.541985
11.877863, 20.000000, -8.534351
8.137404, 20.045801, -8.854961
4.229008, 19.267176, -8.671756
0.061069, 18.641222, -8.167939
-3.816794, 17.984734, -7.404580
-7.190840, 17.877863, -6.656488
-9.725191, 18.137405, -5.679389
-12.152672, 18.183207, -4.427481
-15.541985, 17.343512, -3.236641
-19.572519, 15.389313, -2.137405
-23.664122, 12.809160, -0.854962
-27.358778, 10.000000, -0.335878
-30.061069, 7.083970, -0.061069
-31.679390, 4.412214, -0.167939
-32.030533, 1.954198, 0.076336
-31.786259, -0.106870, 0.183206
-31.404581, -2.030534, 0.198473
-30.732824, -3.816794, 0.687023
-30.763359, -5.709924, 0.946565
-31.694656, -7.511450, 1.572519
-33.526718, -9.450381, 2.137405
-34.442749, -11.923664, 2.412214
-34.122139, -13.526717, 2.671756
-32.045803, -14.290076, 2.473282
-28.015266, -15.206107, 1.954198
-22.778625, -15.679389, 1.618321
-17.328245, -15.664123, 1.694656
-12.198473, -15.083969, 1.908397
-7.832061, -14.091603, 2.473282
-4.244275, -13.236641, 3.526718
-0.702290, -12.473283, 4.396946
2.885496, -12.320611, 5.496183
6.625954, -11.740458, 6.122138
10.396947, -10.793893, 6.717557
13.358779, -9.862596, 7.083970
15.572519, -8.839695, 7.526718
16.549618, -8.198473, 7.541985
16.244274, -7.618320, 8.030535
13.740458, -6.656488, 8.396947
10.213740, -6.503817, 8.732824
5.435114, -6.427481, 8.778625
-0.610687, -6.580153, 8.137404
-5.648855, -6.946565, 6.748092
-9.160305, -7.007634, 4.763359
-11.694656, -6.473282, 2.305344
-13.603053, -5.557252, -0.534351
-15.435115, -3.908397, -3.236641
-17.740458, -2.946565, -5.465649
-20.732824, -2.015267, -7.480916
-24.320610, -1.236641, -9.206107
-27.938931, -0.534351, -10.244275
-31.251909, -0.427481, -11.038168
-34.152672, -0.259542, -11.572519
-36.656490, -0.229008, -11.801527
-39.022900, -0.748092, -11.893129
-41.679390, -1.053435, -11.404580
-44.198475, -1.114504, -11.022901
-45.984734, -1.083969, -10.351145
-47.068703, -0.946565, -9.709924
-47.221375, -1.633588, -8.992367
-46.900764, -1.786260, -7.557252
-47.312977, -2.900763, -6.198473
-48.625954, -4.244275, -4.412214
-51.419846, -5.969466, -1.465649
-55.068703, -8.015267, 1.496183
-61.404579, -10.244275, 4.503817
-69.954201, -13.480916, 7.694656
-80.274811, -16.854961, 11.328244
-92.305344, -21.145039, 14.335877
-101.786263, -24.671755, 18.015266
-110.290077, -27.526718, 21.129770
-116.854965, -29.709923, 23.450382
-121.801529, -30.625954, 25.450382
-124.793892, -31.954199, 27.099237
-126.793892, -32.580154, 28.717558
-127.480919, -32.152672, 29.862595
-127.038170, -30.946566, 30.137405
-124.702293, -28.076336, 30.122137
-120.000000, -25.816793, 29.007633
-113.618324, -23.557251, 27.251909
-105.847328, -22.015266, 24.687023
-96.809158, -21.175573, 22.030535
-87.465652, -20.564886, 18.473282
-77.725189, -19.938931, 14.977099
-67.480919, -19.389313, 11.267176
-57.190838, -18.763359, 7.419847
-47.465649, -18.137405, 4.183206
-38.503819, -17.847328, 1.404580
-30.763359, -18.137405, -0.885496
-24.671755, -18.748091, -2.473282
-20.152672, -19.129770, -3.496183
-14.656488, -22.152672, -3.969466
-10.946565, -23.053434, -3.694656
-7.526718, -24.458015, -3.816794
-4.351145, -25.267176, -3.297710
-0.977099, -26.076336, -2.442748
3.053435, -25.068703, -1.374046
6.610687, -23.603054, -0.320611
9.603053, -21.114504, 0.931298
11.694656, -18.198473, 2.351145
12.381680, -15.954199, 3.938931
12.061069, -13.251908, 5.328244
11.358779, -10.427481, 6.427481
10.396947, -7.847328, 7.297710
9.450381, -4.732824, 7.389313
9.145039, -1.572519, 7.343512
9.175572, 1.404580, 6.977099
9.404580, 4.564886, 6.534351
9.404580, 7.496183, 5.923664
8.839695, 9.938931, 5.206107
7.770992, 11.541985, 4.687023
6.564886, 12.854961, 3.572519
5.267176, 13.740458, 2.549618
4.274809, 14.290076, 1.190840
3.633588, 14.351145, -0.305344
3.679389, 13.938931, -1.740458
4.519084, 13.908397, -3.358779
5.755725, 14.045801, -4.610687
6.854962, 14.137404, -5.603054
7.419847, 14.045801, -6.000000
7.511450, 13.297709, -5.755725
9.145039, 14.671756, -4.839694
6.335878, 10.122137, -3.053435
5.709924, 9.038168, -1.343511
5.099236, 8.854961, -0.045802
4.870229, 7.877862, 1.236641
4.870229, 7.145038, 2.366412
5.297710, 6.442748, 2.824427
5.923664, 5.328244, 3.480916
5.770992, 4.122138, 4.045802
5.145038, 2.320611, 4.442748
3.664122, 1.038168, 4.702290
2.809160, -0.167939, 4.702290
2.290076, -1.496183, 4.610687
1.770992, -2.809160, 4.122138
1.862595, -4.091603, 3.465649
2.137405, -4.946565, 2.793893
1.801527, -5.862596, 2.061069
1.541985, -7.022901, 1.603053
1.496183, -7.114504, 1.053435
1.312977, -7.435114, 0.793893
